accountId,transactionType,amount,description,transactionDate,referenceNumber,counterpartyAccountId,balanceAfter
ACC001,DEPOSIT,2500.00,Payroll deposit,2024-01-02,REF-2024-0001,,12500.00
ACC001,WITHDRAWAL,150.00,ATM cash withdrawal,2024-01-05,REF-2024-0002,,12350.00
ACC001,CHECK,320.00,Rent payment,2024-01-08,REF-2024-0003,,12030.00
ACC001,TRANSFER,500.00,Transfer to savings,2024-01-10,REF-2024-0004,ACC002,11530.00
ACC001,WITHDRAWAL,85.50,Grocery store,2024-01-12,REF-2024-0005,,11444.50
ACC002,DEPOSIT,500.00,Transfer from checking,2024-01-10,REF-2024-0006,ACC001,3500.00
ACC002,DEPOSIT,1200.00,Freelance payment,2024-01-15,REF-2024-0007,,4700.00
ACC002,WITHDRAWAL,60.00,Utility bill,2024-01-18,REF-2024-0008,,4640.00
ACC002,TRANSFER,200.00,Transfer to investment,2024-01-20,REF-2024-0009,ACC003,4440.00
ACC002,CHECK,95.00,Insurance premium,2024-01-22,REF-2024-0010,,4345.00
ACC003,DEPOSIT,200.00,Transfer from savings,2024-01-20,REF-2024-0011,ACC002,1200.00
ACC003,DEPOSIT,3000.00,Bonus payment,2024-01-25,REF-2024-0012,,4200.00
ACC003,WITHDRAWAL,450.00,Online shopping,2024-01-26,REF-2024-0013,,3750.00
ACC003,CHECK,125.00,Subscription service,2024-01-28,REF-2024-0014,,3625.00
ACC003,TRANSFER,300.00,Transfer to checking,2024-01-30,REF-2024-0015,ACC001,3325.00
